名称,住所,営業日,電話番号
"アンジェリオン オ プラザ東京","〒104-0031 東京都中央区京橋3-7-1 相互館110タワー"," 10:00～22:00(【受付時間】平日10:00～18:00  (現在感染症対策のため、時間を短縮しております。通常は平日10:00～20:00で受け付けております。）)","0120-981-381  (受付：月～金10～20時)"
"mood board（ムードボード）","〒100-6903 東京都千代田区丸の内2-6-1 丸の内ブリックスクエア3F","月～金 ランチ：11:00～16:00(L.O.15:00)
土・日・祝 ランチ：11:00～15:00(L.O.15:00)、カフェ：15:00～17:00
月～日・祝前日・祝日 ディナー：17:00～23:00(L.O.22:00)",050-5485-0266
"焼鳥 瀬尾","〒100-0005 東京都千代田区丸の内1-9-1 東京ステーションホテルB1","月～日 17:00～22:00(L.O.21:30)",050-5486-5654
"ちゃい九炉 八重洲店","〒103-0027 東京都中央区日本橋3-2-3 第1山本ビル1・2F","月・火・日・祝日 ディナー：13:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)
水～土・祝前日 ディナー：13:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(【営業時間のお知らせ】1月8日～2月7日の間は＜ 土・日・祝日 13時～20時 月～金 15時～20時 ＞とさせて頂きます。予めご了承下さい。)",050-5485-7827
"もつ鍋と炙り和牛寿司 完全個室居酒屋 八重洲屋 八重洲日本橋店","〒103-0027 東京都中央区日本橋3-3-13","月～日・祝前日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)",050-5489-1683
たい乃家,"〒104-0028 東京都中央区八重洲2-1 八重洲地下街南1号","月～日 ランチ：11:00～16:00
月～日 ディナー：16:00～23:00(※東京都の時短要請に従い、〜2/7まで、20時までの営業とさせて頂きます。)",050-5488-2770
"YEBISU BAR 黒塀横丁店","〒100-0005 東京都千代田区丸の内1-9-1 東京駅八重洲北口B1 黒塀横丁"," 11:00～22:00(【営業時間のお知らせ】当面の間、営業時間短縮とさせていただきます。  ご不便お掛けしますが、何卒ご理解の程宜しくお願い申し上げます。)",050-5485-8363
VIMONキッチンストリート,"〒100-0005 東京都千代田区丸の内1-9-1 JR東京駅"," ランチ：11:00～17:00、ディナー：17:00～23:00(L.O.22:00)",050-5489-6105
サイアムオーキッド,"〒162-0823 東京都中央区八重洲2-1 八重洲地下街南1号","月～金 11:00～22:00(L.O.21:30)
土・日・祝 11:00～21:00(L.O.20:00)(※要請に従って営業時間変更しております。)",03-3516-6663
"東京 今井屋本店","〒100-6390 東京都千代田区丸の内2-4-1 丸の内ビルディング6F","月～金 ランチ：11:00～14:00(L.O.13:30)
土・日・祝 ランチ：11:00～15:00(L.O.14:30)
月～日・祝前日・祝日 ディナー：16:30～23:00(L.O.22:00、ドリンクL.O.22:30)",050-5484-8621
